the_geom,cartodb_id,created_at,updated_at,label,bees,iso3166_2,google_name
0103000020E61000000100000007000000368A75160C2852C0A3E1C40D17A84B40F4F54087C87951C0ADDD088D47344B40F4F54087C87951C02BB8BCE5CA444A40368A75160C2852C0DE4C3C4E10C94940781EAAA54FD652C02BB8BCE5CA444A40781EAAA54FD652C0ADDD088D47344B40368A75160C2852C0A3E1C40D17A84B40,1219,2015-05-13 22:26:15.292346+00,2015-10-05 16:00:16.618571+00,Maine,60.5,ME,Maine (United States)
0103000020E61000000100000007000000368A75160C2852C009846E9C85C94840F4F54087C87951C0537C2200AC454840F4F54087C87951C0E8CD9565BE354740368A75160C2852C06DA24DE1A5A94640781EAAA54FD652C0E8CD9565BE354740781EAAA54FD652C0537C2200AC454840368A75160C2852C009846E9C85C94840,1217,2015-05-13 22:24:35.37342+00,2015-10-05 16:00:16.618571+00,R.I.,47.8,RI,Rhode Island (United States)
0103000020E61000000100000007000000FC4613C4D63254C02BB8BCE5CA444A40BAB2DE34938453C0DE4C3C4E10C94940BAB2DE34938453C009846E9C85C94840FC4613C4D63254C0537C2200AC4548403EDB47531AE154C009846E9C85C948403EDB47531AE154C0DE4C3C4E10C94940FC4613C4D63254C02BB8BCE5CA444A40,1218,2015-05-13 22:25:00.242102+00,2015-10-05 16:00:16.618571+00,Vt.,33.9,VT,Vermont (United States)
0103000020E61000000100000007000000D2A555EBBDAF5BC002A1D5E12BE641409011215C7A015BC04A7EB70FA94141409011215C7A015BC0673623CEE8E13F40D2A555EBBDAF5BC0BB038116B9893E40143A8A7A015E5CC0673623CEE8E13F40143A8A7A015E5CC04A7EB70FA9414140D2A555EBBDAF5BC002A1D5E12BE64140,231,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Okla.,63.4,OK,Oklahoma (United States)
0103000020E610000001000000070000000398E500E5EB56C072878770DAC34340C103B171A13D56C0C3E3100C4D274340C303B171A13D56C002A1D5E12BE641400598E500E5EB56C04A7EB70FA9414140462C1A90289A57C002A1D5E12BE64140462C1A90289A57C0C3E3100C4D2743400398E500E5EB56C072878770DAC34340,244,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,N.C.,41.5,NC,North Carolina (United States)
0103000020E61000000100000007000000C103B171A13D56C0BDEAC3642D8945407F6F7CE25D8F55C0A38E23FDCEF444407F6F7CE25D8F55C072878770DAC34340C103B171A13D56C0C3E3100C4D2743400398E500E5EB56C072878770DAC343400398E500E5EB56C0A38E23FDCEF44440C103B171A13D56C0BDEAC3642D894540,259,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Va.,45.6,VA,Virginia (United States)
0103000020E61000000100000007000000462C1A90289A57C0BDEAC3642D8945400398E500E5EB56C0A38E23FDCEF444400398E500E5EB56C072878770DAC34340462C1A90289A57C0C3E3100C4D27434087C04E1F6C4858C072878770DAC3434087C04E1F6C4858C0A38E23FDCEF44440462C1A90289A57C0BDEAC3642D894540,260,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,W.Va.,59.5,WV,West Virginia (United States)
0103000020E610000001000000070000001D8B5CB70F175FC072878770DAC34340DAF62728CC685EC0C3E3100C4D274340DAF62728CC685EC002A1D5E12BE641401D8B5CB70F175FC04A7EB70FA94141405E1F914653C55FC002A1D5E12BE641405E1F914653C55FC0C3E3100C4D2743401D8B5CB70F175FC072878770DAC34340,250,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Calif.,40.1,CA,California (United States)
0103000020E6100000010000000700000089601C5C7A015BC055DE8E70DAC3434008B4F0CC36535AC0A3D30C0C4D27434008B4F0CC36535AC0D826DBE12BE6414089601C5C7A015BC0D348AE0FA9414140D1C952EBBDAF5BC0D826DBE12BE64140D1C952EBBDAF5BC0A3D30C0C4D27434089601C5C7A015BC055DE8E70DAC34340,247,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Kan.,40.8,KS,Kansas (United States)
0103000020E6100000010000000700000076E183AEAFF658C0FB18BD642D8945402E784D1F6C4858C02BB528FDCEF444402E784D1F6C4858C055DE8E70DAC3434076E183AEAFF658C0A3D30C0C4D274340BF4ABA3DF3A459C055DE8E70DAC34340BF4ABA3DF3A459C02BB528FDCEF4444076E183AEAFF658C0FB18BD642D894540,261,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Ky.,47.7,KY,Kentucky (United States)
0103000020E610000001000000070000003EDB47531AE154C0BDEAC3642D894540FC4613C4D63254C0A38E23FDCEF44440FC4613C4D63254C072878770DAC343403EDB47531AE154C0C3E3100C4D2743407F6F7CE25D8F55C072878770DAC343407F6F7CE25D8F55C0A38E23FDCEF444403EDB47531AE154C0BDEAC3642D894540,258,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Md.,60.9,MD,Maryland (United States)
0103000020E610000001000000070000004D7DECCC36535AC0BDEAC3642D8945400BE9B73DF3A459C0A38E23FDCEF444400BE9B73DF3A459C072878770DAC343404D7DECCC36535AC0C3E3100C4D2743409011215C7A015BC072878770DAC343409011215C7A015BC0A38E23FDCEF444404D7DECCC36535AC0BDEAC3642D894540,262,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Mo.,34.9,MO,Missouri (United States)
0103000020E61000000100000007000000D2A555EBBDAF5BC0BDEAC3642D8945409011215C7A015BC0A38E23FDCEF444409011215C7A015BC072878770DAC34340D2A555EBBDAF5BC0C3E3100C4D274340143A8A7A015E5CC072878770DAC34340143A8A7A015E5CC0A38E23FDCEF44440D2A555EBBDAF5BC0BDEAC3642D894540,263,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Neb.,37.3,NE,Nebraska (United States)
0103000020E61000000100000007000000143A8A7A015E5CC072878770DAC34340D2A555EBBDAF5BC0C3E3100C4D274340D2A555EBBDAF5BC002A1D5E12BE64140143A8A7A015E5CC04A7EB70FA941414056CEBE09450C5DC002A1D5E12BE6414056CEBE09450C5DC0C3E3100C4D274340143A8A7A015E5CC072878770DAC34340,248,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,N.M.,46.1,NM,New Mexico (United States)
0103000020E610000001000000070000007F6F7CE25D8F55C072878770DAC343403EDB47531AE154C0C3E3100C4D2743403EDB47531AE154C002A1D5E12BE64140806F7CE25D8F55C04A7EB70FA9414140C303B171A13D56C002A1D5E12BE64140C103B171A13D56C0C3E3100C4D2743407F6F7CE25D8F55C072878770DAC34340,243,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,S.C.,26.6,SC,South Carolina (United States)
0103000020E6100000010000000700000087C04E1F6C4858C072878770DAC34340462C1A90289A57C0C3E3100C4D274340462C1A90289A57C002A1D5E12BE6414087C04E1F6C4858C04A7EB70FA9414140C95483AEAFF658C002A1D5E12BE64140C95483AEAFF658C0C3E3100C4D27434087C04E1F6C4858C072878770DAC34340,245,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Tenn.,36.4,TN,Tennessee (United States)
0103000020E6100000010000000700000089601C5C7A015BC0CE5C9665BE35474008B4F0CC36535AC06A9250E1A5A9464008B4F0CC36535AC0FB18BD642D89454089601C5C7A015BC02BB528FDCEF44440D1C952EBBDAF5BC0FB18BD642D894540D1C952EBBDAF5BC06A9250E1A5A9464089601C5C7A015BC0CE5C9665BE354740,279,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Iowa,61.4,IA,Iowa (United States)
0103000020E61000000100000007000000DAF62728CC685EC0BDEAC3642D8945409962F39888BA5DC0A38E23FDCEF444409962F39888BA5DC072878770DAC34340DAF62728CC685EC0C3E3100C4D2743401D8B5CB70F175FC072878770DAC343401D8B5CB70F175FC0A38E23FDCEF44440DAF62728CC685EC0BDEAC3642D894540,265,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Nev.,26.7,NV,Nevada (United States)
0103000020E6100000010000000700000042BD11C4D63254C0CE5C9665BE354740F953DB34938453C06A9250E1A5A94640F953DB34938453C0FB18BD642D89454042BD11C4D63254C02BB528FDCEF444408A2648531AE154C0FB18BD642D8945408A2648531AE154C06A9250E1A5A9464042BD11C4D63254C0CE5C9665BE354740,274,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,N.J.,47.6,NJ,New Jersey (United States)
0103000020E610000001000000070000001A33897A015E5CC0CE5C9665BE354740D1C952EBBDAF5BC06A9250E1A5A94640D1C952EBBDAF5BC0FB18BD642D8945401A33897A015E5CC02BB528FDCEF44440639CBF09450C5DC0FB18BD642D894540639CBF09450C5DC06A9250E1A5A946401A33897A015E5CC0CE5C9665BE354740,280,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,S.D.,36.1,SD,South Dakota (United States)
0103000020E610000001000000070000000398E500E5EB56C0E8CD9565BE354740C103B171A13D56C06DA24DE1A5A94640C103B171A13D56C0BDEAC3642D8945400398E500E5EB56C0A38E23FDCEF44440462C1A90289A57C0BDEAC3642D894540462C1A90289A57C06DA24DE1A5A946400398E500E5EB56C0E8CD9565BE354740,276,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Ohio,49.8,OH,Ohio (United States)
0103000020E610000001000000070000009962F39888BA5DC0E8CD9565BE35474056CEBE09450C5DC06DA24DE1A5A9464056CEBE09450C5DC0BDEAC3642D8945409962F39888BA5DC0A38E23FDCEF44440DAF62728CC685EC0BDEAC3642D894540DAF62728CC685EC06DA24DE1A5A946409962F39888BA5DC0E8CD9565BE354740,281,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Wyo.,32.5,WY,Wyoming (United States)
0103000020E61000000100000007000000FC4613C4D63254C072878770DAC34340BAB2DE34938453C0C3E3100C4D274340BAB2DE34938453C002A1D5E12BE64140FC4613C4D63254C04A7EB70FA94141403EDB47531AE154C002A1D5E12BE641403EDB47531AE154C0C3E3100C4D274340FC4613C4D63254C072878770DAC34340,242,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,D.C.,,DC,District of Columbia (United States)
0103000020E61000000100000007000000BAB2DE34938453C0BDEAC3642D894540781EAAA54FD652C0A38E23FDCEF44440781EAAA54FD652C072878770DAC34340BAB2DE34938453C0C3E3100C4D274340FC4613C4D63254C072878770DAC34340FC4613C4D63254C0A38E23FDCEF44440BAB2DE34938453C0BDEAC3642D894540,257,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Del.,61,DE,Delaware (United States)
0103000020E610000001000000070000000598E500E5EB56C0673623CEE8E13F40C303B171A13D56C0BB038116B9893E40C303B171A13D56C086450D21FDCA3B400598E500E5EB56C0CE1555F7B7643A40462C1A90289A57C086450D21FDCA3B40462C1A90289A57C0BB038116B9893E400598E500E5EB56C0673623CEE8E13F40,212,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Fla.,54.8,FL,Florida (United States)
0103000020E61000000100000007000000781EAAA54FD652C02BB8BCE5CA444A40368A75160C2852C0DE4C3C4E10C94940368A75160C2852C009846E9C85C94840781EAAA54FD652C0537C2200AC454840BAB2DE34938453C009846E9C85C94840BAB2DE34938453C0DE4C3C4E10C94940781EAAA54FD652C02BB8BCE5CA444A40,305,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,N.H.,39.4,NH,New Hampshire (United States)
0103000020E61000000100000007000000126E17FA0EE860C0673623CEE8E13F40F1237D32ED9060C0BB038116B9893E40F1237D32ED9060C086450D21FDCA3B40126E17FA0EE860C0CE1555F7B7643A4033B8B1C1303F61C086450D21FDCA3B4033B8B1C1303F61C0BB038116B9893E40126E17FA0EE860C0673623CEE8E13F40,220,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,H.I.,13.9,HI,Hawaii (United States)
0103000020E610000001000000070000009011215C7A015BC0673623CEE8E13F404D7DECCC36535AC0BB038116B9893E404D7DECCC36535AC086450D21FDCA3B409011215C7A015BC0CE1555F7B7643A40D2A555EBBDAF5BC086450D21FDCA3B40D2A555EBBDAF5BC0BB038116B9893E409011215C7A015BC0673623CEE8E13F40,215,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Texas,46.3,TX,Texas (United States)
0103000020E61000000100000007000000462C1A90289A57C002A1D5E12BE641400598E500E5EB56C04A7EB70FA94141400598E500E5EB56C0673623CEE8E13F40462C1A90289A57C0BB038116B9893E4087C04E1F6C4858C0673623CEE8E13F4087C04E1F6C4858C04A7EB70FA9414140462C1A90289A57C002A1D5E12BE64140,228,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Ala.,48.1,AL,Alabama (United States)
0103000020E6100000010000000700000056CEBE09450C5DC002A1D5E12BE64140143A8A7A015E5CC04A7EB70FA9414140143A8A7A015E5CC0673623CEE8E13F4056CEBE09450C5DC0BB038116B9893E409962F39888BA5DC0673623CEE8E13F409962F39888BA5DC04A7EB70FA941414056CEBE09450C5DC002A1D5E12BE64140,232,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Ariz.,42.9,AZ,Arizona (United States)
0103000020E61000000100000007000000C303B171A13D56C002A1D5E12BE64140806F7CE25D8F55C04A7EB70FA9414140806F7CE25D8F55C0673623CEE8E13F40C303B171A13D56C0BB038116B9893E400598E500E5EB56C0673623CEE8E13F400598E500E5EB56C04A7EB70FA9414140C303B171A13D56C002A1D5E12BE64140,227,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Ga.,34.9,GA,Georgia (United States)
0103000020E6100000010000000700000008B4F0CC36535AC0D826DBE12BE64140BF4ABA3DF3A459C0D348AE0FA9414140BF4ABA3DF3A459C0B32C35CEE8E13F4008B4F0CC36535AC066898C16B9893E4089601C5C7A015BC0B32C35CEE8E13F4089601C5C7A015BC0D348AE0FA941414008B4F0CC36535AC0D826DBE12BE64140,230,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,La.,44.3,LA,Louisiana (United States)
0103000020E61000000100000007000000C95483AEAFF658C002A1D5E12BE6414087C04E1F6C4858C04A7EB70FA941414087C04E1F6C4858C0673623CEE8E13F40C95483AEAFF658C0BB038116B9893E400BE9B73DF3A459C0673623CEE8E13F400BE9B73DF3A459C04A7EB70FA9414140C95483AEAFF658C002A1D5E12BE64140,229,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Miss.,38.7,MS,Mississippi (United States)
0103000020E610000001000000070000009962F39888BA5DC072878770DAC3434056CEBE09450C5DC0C3E3100C4D27434056CEBE09450C5DC002A1D5E12BE641409962F39888BA5DC04A7EB70FA9414140DAF62728CC685EC002A1D5E12BE64140DAF62728CC685EC0C3E3100C4D2743409962F39888BA5DC072878770DAC34340,249,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Utah,33.5,UT,Utah (United States)
0103000020E6100000010000000700000056CEBE09450C5DC0BDEAC3642D894540143A8A7A015E5CC0A38E23FDCEF44440143A8A7A015E5CC072878770DAC3434056CEBE09450C5DC0C3E3100C4D2743409962F39888BA5DC072878770DAC343409962F39888BA5DC0A38E23FDCEF4444056CEBE09450C5DC0BDEAC3642D894540,264,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Colo.,38,CO,Colorado (United States)
0103000020E610000001000000070000000BE9B73DF3A459C072878770DAC34340C95483AEAFF658C0C3E3100C4D274340C95483AEAFF658C002A1D5E12BE641400BE9B73DF3A459C04A7EB70FA94141404D7DECCC36535AC002A1D5E12BE641404D7DECCC36535AC0C3E3100C4D2743400BE9B73DF3A459C072878770DAC34340,246,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Ark.,48.3,AR,Arkansas (United States)
0103000020E610000001000000070000001D8B5CB70F175FC0E8CD9565BE354740DAF62728CC685EC06DA24DE1A5A94640DAF62728CC685EC0BDEAC3642D8945401D8B5CB70F175FC0A38E23FDCEF444405E1F914653C55FC0BDEAC3642D8945405E1F914653C55FC06DA24DE1A5A946401D8B5CB70F175FC0E8CD9565BE354740,282,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Idaho,33.3,ID,Idaho (United States)
0103000020E610000001000000070000005E1F914653C55FC0BDEAC3642D8945401D8B5CB70F175FC0A38E23FDCEF444401D8B5CB70F175FC072878770DAC343405E1F914653C55FC0C3E3100C4D274340D0D9E26ACB3960C072878770DAC34340D0D9E26ACB3960C0A38E23FDCEF444405E1F914653C55FC0BDEAC3642D894540,266,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Ore.,25.2,OR,Oregon (United States)
0103000020E610000001000000070000000BE9B73DF3A459C0E8CD9565BE354740C95483AEAFF658C06DA24DE1A5A94640C95483AEAFF658C0BDEAC3642D8945400BE9B73DF3A459C0A38E23FDCEF444404D7DECCC36535AC0BDEAC3642D8945404D7DECCC36535AC06DA24DE1A5A946400BE9B73DF3A459C0E8CD9565BE354740,278,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Ill.,62.4,IL,Illinois (United States)
0103000020E610000001000000070000007F6F7CE25D8F55C0E8CD9565BE3547403EDB47531AE154C06DA24DE1A5A946403EDB47531AE154C0BDEAC3642D8945407F6F7CE25D8F55C0A38E23FDCEF44440C103B171A13D56C0BDEAC3642D894540C103B171A13D56C06DA24DE1A5A946407F6F7CE25D8F55C0E8CD9565BE354740,275,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Pa.,60.6,PA,Pennsylvania (United States)
0103000020E6100000010000000700000087C04E1F6C4858C0E8CD9565BE354740462C1A90289A57C06DA24DE1A5A94640462C1A90289A57C0BDEAC3642D89454087C04E1F6C4858C0A38E23FDCEF44440C95483AEAFF658C0BDEAC3642D894540C95483AEAFF658C06DA24DE1A5A9464087C04E1F6C4858C0E8CD9565BE354740,277,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Ind.,49.1,IN,Indiana (United States)
0103000020E610000001000000070000003EDB47531AE154C009846E9C85C94840FC4613C4D63254C0537C2200AC454840FC4613C4D63254C0E8CD9565BE3547403EDB47531AE154C06DA24DE1A5A946407F6F7CE25D8F55C0E8CD9565BE3547407F6F7CE25D8F55C0537C2200AC4548403EDB47531AE154C009846E9C85C94840,290,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,N.Y.,54.1,NY,New York (United States)
0103000020E610000001000000070000005E1F914653C55FC009846E9C85C948401D8B5CB70F175FC0537C2200AC4548401D8B5CB70F175FC0E8CD9565BE3547405E1F914653C55FC06DA24DE1A5A94640D0D9E26ACB3960C0E8CD9565BE354740D0D9E26ACB3960C0537C2200AC4548405E1F914653C55FC009846E9C85C94840,298,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Wash.,39.3,WA,Washington (United States)
0103000020E610000001000000070000004D7DECCC36535AC009846E9C85C948400BE9B73DF3A459C0537C2200AC4548400BE9B73DF3A459C0E8CD9565BE3547404D7DECCC36535AC06DA24DE1A5A946409011215C7A015BC0E8CD9565BE3547409011215C7A015BC0537C2200AC4548404D7DECCC36535AC009846E9C85C94840,294,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Wis.,60.2,WI,Wisconsin (United States)
0103000020E61000000100000007000000BAB2DE34938453C009846E9C85C94840781EAAA54FD652C0537C2200AC454840781EAAA54FD652C0E8CD9565BE354740BAB2DE34938453C06DA24DE1A5A94640FC4613C4D63254C0E8CD9565BE354740FC4613C4D63254C0537C2200AC454840BAB2DE34938453C009846E9C85C94840,289,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Mass.,46.4,MA,Massachusetts (United States)
0103000020E61000000100000007000000462C1A90289A57C009846E9C85C948400398E500E5EB56C0537C2200AC4548400398E500E5EB56C0E8CD9565BE354740462C1A90289A57C06DA24DE1A5A9464087C04E1F6C4858C0E8CD9565BE35474087C04E1F6C4858C0537C2200AC454840462C1A90289A57C009846E9C85C94840,292,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Mich.,27.7,MI,Michigan (United States)
0103000020E61000000100000007000000D2A555EBBDAF5BC009846E9C85C948409011215C7A015BC0537C2200AC4548409011215C7A015BC0E8CD9565BE354740D2A555EBBDAF5BC06DA24DE1A5A94640143A8A7A015E5CC0E8CD9565BE354740143A8A7A015E5CC0537C2200AC454840D2A555EBBDAF5BC009846E9C85C94840,295,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Minn.,51.2,MN,Minnesota (United States)
0103000020E61000000100000007000000DAF62728CC685EC009846E9C85C948409962F39888BA5DC0537C2200AC4548409962F39888BA5DC0E8CD9565BE354740DAF62728CC685EC06DA24DE1A5A946401D8B5CB70F175FC0E8CD9565BE3547401D8B5CB70F175FC0537C2200AC454840DAF62728CC685EC009846E9C85C94840,297,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Mont.,41.1,MT,Montana (United States)
0103000020E61000000100000007000000639CBF09450C5DC09219779C85C948401A33897A015E5CC055912300AC4548401A33897A015E5CC0CE5C9665BE354740639CBF09450C5DC06A9250E1A5A94640AB05F69888BA5DC0CE5C9665BE354740AB05F69888BA5DC055912300AC454840639CBF09450C5DC09219779C85C94840,296,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,N.D.,40.4,ND,North Dakota (United States)
0103000020E61000000100000007000000F1237D32ED9060C0A3E1C40D17A84B40D0D9E26ACB3960C0ADDD088D47344B40D0D9E26ACB3960C02BB8BCE5CA444A40F1237D32ED9060C0DE4C3C4E10C94940126E17FA0EE860C02BB8BCE5CA444A40126E17FA0EE860C0ADDD088D47344B40F1237D32ED9060C0A3E1C40D17A84B40,331,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,A.K.,,AK,Alaska (United States)
0103000020E61000000100000007000000781EAAA54FD652C0E8CD9565BE354740368A75160C2852C06DA24DE1A5A94640368A75160C2852C0BDEAC3642D894540781EAAA54FD652C0A38E23FDCEF44440BAB2DE34938453C0BDEAC3642D894540BAB2DE34938453C06DA24DE1A5A94640781EAAA54FD652C0E8CD9565BE354740,273,2015-05-13 22:02:22.732128+00,2015-10-05 16:00:16.618571+00,Conn.,57.5,CT,Connecticut (United States)
